,timestamp,btc_close,btc_high,btc_low,btc_open,btc_volumefrom,btc_volumeto,bch_close,bch_high,bch_low,bch_open,bch_volumefrom,bch_volumeto,eth_close,eth_high,eth_low,eth_open,eth_volumefrom,eth_volumeto,ltc_close,ltc_high,ltc_low,ltc_open,ltc_volumefrom,ltc_volumeto,xvg_close,xvg_high,xvg_low,xvg_open,xvg_volumefrom,xvg_volumeto,xrp_close,xrp_high,xrp_low,xrp_open,xrp_volumefrom,xrp_volumeto,dash_close,dash_high,dash_low,dash_open,dash_volumefrom,dash_volumeto,xmr_close,xmr_high,xmr_low,xmr_open,xmr_volumefrom,xmr_volumeto,iot_close,iot_high,iot_low,iot_open,iot_volumefrom,iot_volumeto,btc_close_before_1day,btc_close_before_2days,btc_close_before_3days,btc_close_before_4days,btc_close_before_5days,btc_close_before_6days,btc_close_before_7days,btc_close_before_8days,btc_close_before_2weeks,btc_close_before_3weeks,btc_close_before_4weeks,btc_close_before_8weeks,bch_close_before_1day,bch_close_before_2days,bch_close_before_3days,bch_close_before_4days,bch_close_before_5days,bch_close_before_6days,bch_close_before_7days,bch_close_before_8days,bch_close_before_2weeks,bch_close_before_3weeks,bch_close_before_4weeks,bch_close_before_8weeks,eth_close_before_1day,eth_close_before_2days,eth_close_before_3days,eth_close_before_4days,eth_close_before_5days,eth_close_before_6days,eth_close_before_7days,eth_close_before_8days,eth_close_before_2weeks,eth_close_before_3weeks,eth_close_before_4weeks,eth_close_before_8weeks,ltc_close_before_1day,ltc_close_before_2days,ltc_close_before_3days,ltc_close_before_4days,ltc_close_before_5days,ltc_close_before_6days,ltc_close_before_7days,ltc_close_before_8days,ltc_close_before_2weeks,ltc_close_before_3weeks,ltc_close_before_4weeks,ltc_close_before_8weeks,xvg_close_before_1day,xvg_close_before_2days,xvg_close_before_3days,xvg_close_before_4days,xvg_close_before_5days,xvg_close_before_6days,xvg_close_before_7days,xvg_close_before_8days,xvg_close_before_2weeks,xvg_close_before_3weeks,xvg_close_before_4weeks,xvg_close_before_8weeks,xrp_close_before_1day,xrp_close_before_2days,xrp_close_before_3days,xrp_close_before_4days,xrp_close_before_5days,xrp_close_before_6days,xrp_close_before_7days,xrp_close_before_8days,xrp_close_before_2weeks,xrp_close_before_3weeks,xrp_close_before_4weeks,xrp_close_before_8weeks,dash_close_before_1day,dash_close_before_2days,dash_close_before_3days,dash_close_before_4days,dash_close_before_5days,dash_close_before_6days,dash_close_before_7days,dash_close_before_8days,dash_close_before_2weeks,dash_close_before_3weeks,dash_close_before_4weeks,dash_close_before_8weeks,xmr_close_before_1day,xmr_close_before_2days,xmr_close_before_3days,xmr_close_before_4days,xmr_close_before_5days,xmr_close_before_6days,xmr_close_before_7days,xmr_close_before_8days,xmr_close_before_2weeks,xmr_close_before_3weeks,xmr_close_before_4weeks,xmr_close_before_8weeks,iot_close_before_1day,iot_close_before_2days,iot_close_before_3days,iot_close_before_4days,iot_close_before_5days,iot_close_before_6days,iot_close_before_7days,iot_close_before_8days,iot_close_before_2weeks,iot_close_before_3weeks,iot_close_before_4weeks,iot_close_before_8weeks,btc_close_after_1day,bch_close_after_1day,eth_close_after_1day,ltc_close_after_1day,xvg_close_after_1day,xrp_close_after_1day,dash_close_after_1day,xmr_close_after_1day,iot_close_after_1day
0,1458345600,408.69,410.49,402.13,408.16,36997.54,15084656.26,0.0,0.0,0.0,0.0,0.0,0.0,10.55,11.19,9.8,10.75,48704.1,512234.39,3.17,3.21,3.13,3.16,60671.49,191909.47,0.00024,0.00024,0.00024,0.00024,0.0,0.0,0.00782,0.008282,0.00782,0.008282,17379.99,136.97,6.0,6.1,5.88,5.88,681.03,4044.89,1.21,1.26,1.1,1.1,172.53,205.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1458432000,411.53,413.45,407.24,408.69,30543.21,12577521.63,0.0,0.0,0.0,0.0,0.0,0.0,10.06,10.85,9.52,10.55,47028.95,469675.86,3.19,3.21,3.15,3.17,46265.84,147216.91,0.00024,0.00024,0.00024,0.00024,0.0,0.0,0.00778,0.008128,0.00778,0.00782,138882.0,1097.36,5.9,6.15,5.8,6.0,559.03,3385.77,1.48,1.5,1.18,1.21,4111.84,5792.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1458518400,411.11,413.09,407.25,411.53,43159.26,17735457.25,0.0,0.0,0.0,0.0,0.0,0.0,11.97,11.99,9.93,10.06,73367.01,819534.02,3.19,3.22,3.15,3.19,36964.01,117577.62,0.00024,0.00024,0.00024,0.00024,0.0,0.0,0.00792,0.008128,0.00778,0.00778,308662.1,2503.24,6.2,6.4,5.9,5.9,1148.5,7192.79,1.44,1.56,1.35,1.48,2911.16,4248.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1458604800,416.21,417.94,410.78,411.11,49075.11,20425092.47,0.0,0.0,0.0,0.0,0.0,0.0,10.96,12.2,10.95,11.97,63118.64,727727.88,3.22,3.24,3.18,3.19,51331.15,164759.95,0.00024,0.00024,0.00024,0.00024,0.0,0.0,0.007915,0.00813,0.007905,0.00792,77868.96,618.58,6.0,6.22,5.9,6.2,903.44,5485.18,1.34,1.51,1.34,1.44,3400.39,4809.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1458691200,416.98,419.58,414.18,416.21,40605.05,16946522.38,0.0,0.0,0.0,0.0,0.0,0.0,12.29,12.5,10.96,10.96,54811.26,654062.63,3.22,3.26,3.18,3.22,68398.25,220379.44,0.00024,0.00024,0.00024,0.00024,0.0,0.0,0.008381,0.008511,0.007915,0.007915,22394.1,183.68,6.32,6.77,5.98,6.0,1262.73,8122.2,1.45,1.45,1.34,1.34,1590.55,2224.81,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1458777600,414.74,417.68,412.88,416.98,38828.43,16210672.62,0.0,0.0,0.0,0.0,0.0,0.0,11.13,12.48,10.84,12.29,65510.18,749565.0,3.18,3.25,3.16,3.22,53867.2,172923.3,0.00023,0.00023,0.00023,0.00023,366.89,0.08438,0.008421,0.008445,0.008065,0.008381,8550.39,70.07,6.71,6.77,6.26,6.32,1128.32,7330.4,1.63,1.73,1.41,1.45,7612.79,12035.57,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1458864000,415.71,417.3,412.41,414.74,34588.15,14431200.38,0.0,0.0,0.0,0.0,0.0,0.0,10.69,11.4,10.51,11.13,51369.17,555245.29,3.21,3.23,3.17,3.18,63298.96,202928.67,0.00023,0.00023,0.00023,0.00023,0.0,0.0,0.008212,0.008421,0.008,0.008421,4804.86,39.0,7.95,7.96,6.7,6.71,1788.62,12705.02,1.59,3.3,1.59,1.63,451.83,750.13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1458950400,416.51,417.71,413.93,415.71,28056.64,11696306.67,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.38,10.58,10.69,24312.17,265184.1,3.21,3.24,3.19,3.21,35095.51,112658.29,0.00023,0.00023,0.00023,0.00023,0.0,0.0,0.008128,0.008212,0.008004,0.008212,1260.68,10.16,7.11,7.95,7.0,7.95,591.3,4262.77,1.69,1.72,1.59,1.59,1406.85,2330.97,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1459036800,424.57,427.36,415.5,416.51,61724.4,26137150.51,0.0,0.0,0.0,0.0,0.0,0.0,10.5,11.09,10.11,11.0,44241.08,465235.75,3.28,3.34,3.18,3.21,130799.15,427858.08,0.00023,0.00023,0.00023,0.00023,0.0,0.0,0.007863,0.008128,0.007863,0.008128,80985.28,641.0,7.16,7.35,6.8,7.11,660.86,4699.82,1.5,1.72,1.4,1.69,5919.7,9053.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1459123200,422.21,425.36,419.7,424.57,43444.76,18410749.99,0.0,0.0,0.0,0.0,0.0,0.0,11.58,11.83,10.3,10.5,62920.43,711407.88,3.25,3.28,3.23,3.28,79625.03,259782.95,0.00023,0.00023,0.00023,0.00023,0.0,0.0,0.007329,0.008122,0.00715,0.007863,240873.82,1852.1,7.06,7.49,6.42,7.16,815.99,5593.12,1.48,1.56,1.41,1.5,2815.36,4289.08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
