trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.9130889403123083}",20,0,-182.55739301532228,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
43,False,"{'a': 0.7, 'e': 0.9089657496748851}",25,0,-167.13677960703527,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.7, 'e': 0.9047516632199634}",20,0,-24.634333388828246,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.9004471023526769}",35,0,-237.53699564225724,"{0: 22, 1: 0, 2: 6, 3: 4, 4: 3}",0
46,False,"{'a': 0.7, 'e': 0.8960524975255252}",30,0,-122.86600292994754,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.7, 'e': 0.891568288195329}",25,0,-180.76000440386036,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
48,False,"{'a': 0.7, 'e': 0.8869949227792842}",30,0,-260.83182029828555,"{0: 14, 1: 0, 2: 11, 3: 2, 4: 3}",0
49,False,"{'a': 0.7, 'e': 0.8823328586101215}",25,0,-124.1279299652316,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.8775825618903728}",25,10,-45.30623907585863,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.8727445076457513}",20,0,-186.3581989518925,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
52,False,"{'a': 0.7, 'e': 0.8678191796776499}",20,0,-237.6217735145343,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 4}",0
53,False,"{'a': 0.7, 'e': 0.862807070514761}",20,0,-184.8504039448243,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
54,False,"{'a': 0.7, 'e': 0.8577086813638242}",25,0,-147.97464786174686,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.7, 'e': 0.8525245220595057}",20,0,-137.65415242853655,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.8472551110134161}",25,5,-82.7489741025699,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
57,False,"{'a': 0.7, 'e': 0.8419009751622688}",25,0,-189.98956931137343,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
58,False,"{'a': 0.7, 'e': 0.8364626499151869}",20,0,-87.77283603848343,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.8309406791001636}",25,3,-88.03823967772647,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.7, 'e': 0.8253356149096783}",20,0,-82.78534536700344,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.8196480178454795}",25,6,-103.36064593207672,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 1}",1
62,False,"{'a': 0.7, 'e': 0.8138784566625339}",25,0,-137.80303050717237,"{0: 13, 1: 0, 2: 9, 3: 3, 4: 0}",0
63,False,"{'a': 0.7, 'e': 0.8080275083121519}",20,0,4.540423495029016,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.7, 'e': 0.8020957578842927}",20,0,-148.08976163841015,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
65,False,"{'a': 0.7, 'e': 0.7960837985490559}",20,0,-160.6131967943281,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.7899922314973651}",25,10,-56.826162799234524,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.7838216658808492}",20,0,-185.8961614755251,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
68,False,"{'a': 0.7, 'e': 0.7775727187509279}",20,0,-106.52315163086683,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.7712460149971067}",25,0,-87.23284764799705,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.7648421872844885}",20,0,-71.342332914036,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.7, 'e': 0.7583618759905082}",20,0,-177.6262822897184,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
72,False,"{'a': 0.7, 'e': 0.751805729140895}",20,0,-84.99606355185321,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.7451744023448704}",20,0,-197.673328178709,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
74,False,"{'a': 0.7, 'e': 0.7384685587295879}",20,7,-34.27701295639694,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.7, 'e': 0.7316888688738209}",25,5,-79.90619027780352,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.7248360107409052}",35,0,-174.22193323540748,"{0: 22, 1: 0, 2: 10, 3: 1, 4: 2}",0
77,False,"{'a': 0.7, 'e': 0.7179106696109433}",20,0,-147.80994029261953,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
78,False,"{'a': 0.7, 'e': 0.7109135380122773}",20,0,-145.579534530907,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
79,False,"{'a': 0.7, 'e': 0.7038453156522361}",20,0,-122.81383193724344,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
80,False,"{'a': 0.7, 'e': 0.6967067093471654}",20,0,-118.7264693849553,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
81,False,"{'a': 0.7, 'e': 0.689498432951747}",20,0,-171.6991073783339,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
82,False,"{'a': 0.7, 'e': 0.6822212072876136}",25,16,-56.56543261028139,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
83,False,"{'a': 0.7, 'e': 0.6748757600712672}",25,0,-93.7309601457793,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
84,False,"{'a': 0.7, 'e': 0.6674628258413081}",30,14,1.8276085462383516,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.6599831458849822}",30,11,-19.990098643179746,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.6524374681640519}",30,0,-56.3815318748023,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.6448265472400012}",20,9,-159.75228284491067,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 3}",1
88,False,"{'a': 0.7, 'e': 0.6371511441985802}",30,3,-172.33212568095388,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 3}",1
89,False,"{'a': 0.7, 'e': 0.6294120265736969}",30,0,-226.8934049230261,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
90,False,"{'a': 0.7, 'e': 0.6216099682706644}",20,15,-12.13537430569469,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.6137457494888116}",25,15,-49.27819329843731,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.7, 'e': 0.6058201566434628}",25,0,-60.25281135478942,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.7, 'e': 0.5978339822872982}",30,0,-168.0716834673683,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
94,False,"{'a': 0.7, 'e': 0.5897880250310983}",20,2,-69.9792443764028,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
95,False,"{'a': 0.7, 'e': 0.5816830894638836}",30,0,-197.1524789034401,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
96,False,"{'a': 0.7, 'e': 0.5735199860724567}",25,17,-36.355049066455976,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.7, 'e': 0.5652995311603544}",20,7,-10.892085056701513,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.5570225467662173}",25,0,-70.24512799174688,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.5486898605815875}",20,9,-56.0676709069647,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.5403023058681398}",20,0,-135.2883323553521,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
101,False,"{'a': 0.7, 'e': 0.5318607213743555}",35,0,-176.32219544877034,"{0: 26, 1: 0, 2: 5, 3: 0, 4: 4}",0
102,False,"{'a': 0.7, 'e': 0.5233659512516495}",20,0,-70.06979951325046,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.7, 'e': 0.5148188449699553}",20,13,-10.229227434185352,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.5062202572327784}",20,14,-2.8112304457202995,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.49757104789172696}",20,0,-46.442558951278,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.4888720818605275}",25,0,-137.70041358236534,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
107,False,"{'a': 0.7, 'e': 0.4801242290285341}",20,12,-29.290050423773387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.7, 'e': 0.47132836417373997}",20,0,-105.96465305849672,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
109,False,"{'a': 0.7, 'e': 0.4624853668753008}",25,0,-117.41515639065058,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
110,False,"{'a': 0.7, 'e': 0.4535961214255773}",25,11,-70.39823178957054,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.7, 'e': 0.4446615167417068}",25,6,-59.48098121492451,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
112,False,"{'a': 0.7, 'e': 0.4356824462767121}",25,9,-3.666798816408253,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.4266598079301574}",20,13,0.18608716100380462,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.4175945039583582}",30,0,-22.789680088703488,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.4084874408841574}",20,10,14.62573566478064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3993395294062732}",25,0,-240.9367947393742,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
117,False,"{'a': 0.7, 'e': 0.3901516843082303}",30,0,1.512213248222802,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.7, 'e': 0.38092482436688185}",25,0,6.652978419490009,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.7, 'e': 0.371659872260533}",25,13,-3.143480261873357,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.3623577544766736}",25,18,10.704993082996541,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.3530194012193304}",25,0,-135.76269248868738,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
122,False,"{'a': 0.7, 'e': 0.34364574631604705}",35,0,-66.847505465873,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 2}",0
123,False,"{'a': 0.7, 'e': 0.3342377271245026}",25,0,-79.41024734468404,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.7, 'e': 0.32479628443877623}",25,4,-31.872698355593446,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.3153223623952687}",20,0,-45.06120917801215,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
126,False,"{'a': 0.7, 'e': 0.30581690837828934}",30,13,14.580702480224485,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.29628087292531874}",25,0,-85.3509429546733,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
128,False,"{'a': 0.7, 'e': 0.2867152096319555}",30,0,-57.00261217419205,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.2771208750565576}",25,3,-25.55505135607131,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.7, 'e': 0.26749882862458735}",30,15,-19.561270780593997,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.25785003253266964}",20,1,-5.4928098803811745,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.2481754516523729}",25,12,20.995440007685886,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.23847605343372313}",20,2,-13.410776739723348,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
