trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9999500004166653}",20,0,-72.75884384650475,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9998000066665778}",25,0,-263.4456900438896,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
3,False,"{'a': 0.7, 'e': 0.9995500337489875}",20,0,-120.89702950000913,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9992001066609779}",20,0,-183.4465333972115,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.9987502603949663}",25,0,-192.99609273102564,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.9982005399352042}",20,0,-232.8263132245708,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.7, 'e': 0.9975510002532796}",20,3,-156.5920945170557,"{0: 6, 1: 3, 2: 5, 3: 1, 4: 2}",1
8,False,"{'a': 0.7, 'e': 0.9968017063026194}",20,0,-224.0028865625582,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.7, 'e': 0.9959527330119943}",20,0,-113.95850547247413,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9950041652780258}",20,0,-157.6862631601419,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.9939560979566968}",20,0,-114.07181897792961,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.9928086358538663}",20,0,-55.45880931452513,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9915618937147881}",20,0,-239.32580982079497,"{0: 5, 1: 3, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.9902159962126371}",20,0,-127.88756714345256,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.9887710779360422}",20,0,-168.80845745605222,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9872272833756269}",20,0,-1.8584811721513492,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.9855847669095608}",20,0,-226.08803132141034,"{0: 6, 1: 2, 2: 8, 3: 1, 4: 3}",0
