trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9996875162757026}",25,0,-247.44822354399963,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.9987502603949663}",25,0,-216.12022396498148,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.7, 'e': 0.9971888181122075}",20,0,-159.92720051039225,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.7, 'e': 0.9950041652780258}",25,0,-259.519748655515,"{0: 12, 1: 0, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.7, 'e': 0.992197667229329}",25,0,-127.88955022208283,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9887710779360422}",25,0,-160.4927217458524,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.9847265389049334}",20,0,-233.29015020995593,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
8,False,"{'a': 0.7, 'e': 0.9800665778412416}",30,0,-211.32977211574337,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.9747941070689433}",20,0,-81.08010172741831,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.9689124217106447}",20,0,-32.705455607655615,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.962425197628238}",20,10,-68.51019964037229,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.7, 'e': 0.955336489125606}",25,3,-125.27207692155659,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.9476507264148157}",25,0,-87.46043493795126,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.9393727128473789}",25,0,-248.82113606047386,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
15,False,"{'a': 0.7, 'e': 0.9305076219123143}",20,6,-191.01272199968565,"{0: 4, 1: 0, 2: 6, 3: 1, 4: 3}",1
16,False,"{'a': 0.7, 'e': 0.9210609940028851}",25,0,-130.76057227207497,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.9110387329540337}",20,0,-35.158683136441255,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.9004471023526769}",20,0,-133.41920330852065,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.8892927216231682}",25,0,-232.85039732654465,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 4}",0
20,False,"{'a': 0.7, 'e': 0.8775825618903728}",30,0,-150.57685935664801,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.8653239416229412}",20,0,-168.0994536911539,"{0: 7, 1: 0, 2: 10, 3: 2, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.8525245220595057}",20,0,-169.81668482196986,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.7, 'e': 0.8391923024206541}",20,0,-115.28701486066896,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.8253356149096783}",25,7,-69.46102718927195,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.8109631195052179}",20,7,-80.39631951219094,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.7960837985490559}",35,0,-250.05805951750628,"{0: 21, 1: 0, 2: 9, 3: 1, 4: 4}",0
27,False,"{'a': 0.7, 'e': 0.7807069511324468}",25,0,-113.76860658714908,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.7648421872844885}",20,0,-90.37830612023997,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.7484994219661651}",20,16,7.30218712183636,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.7316888688738209}",25,0,-92.41017120091948,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.7144210340559314}",20,0,-72.2036992969387,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.6967067093471654}",35,0,-164.72928143946498,"{0: 21, 1: 0, 2: 11, 3: 2, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.6785569656238399}",25,0,-161.56952808315762,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
34,False,"{'a': 0.7, 'e': 0.6599831458849822}",20,0,-137.1905877116629,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.6409968581633251}",20,0,-72.40549532633553,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.6216099682706644}",20,0,-131.57069774890365,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.6018345923821126}",30,5,-201.93323274064988,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",1
38,False,"{'a': 0.7, 'e': 0.5816830894638836}",20,0,-95.01739415764698,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.5611680535493414}",20,0,-182.28240401095505,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.7, 'e': 0.5403023058681398}",20,11,-19.4892285867736,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.5190988868333698}",25,5,-47.28665801414243,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
42,False,"{'a': 0.7, 'e': 0.49757104789172696}",20,6,-12.858388090245672,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.4757322432417888}",25,0,-120.81488641897282,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.4535961214255773}",20,12,13.06274138048946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.4311765167986662}",20,0,-125.42307309403786,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
46,False,"{'a': 0.7, 'e': 0.4084874408841574}",30,1,-192.92141455706832,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 5}",1
