trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9996875162757026}",25,0,-184.55446798546706,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.9987502603949663}",30,0,-242.03522400480708,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 4}",0
3,False,"{'a': 0.7, 'e': 0.9971888181122075}",25,0,-251.4218254154899,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.7, 'e': 0.9950041652780258}",30,0,-175.65759076011778,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.992197667229329}",20,0,-66.4635799312246,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9887710779360422}",20,0,-119.87953838301536,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9847265389049334}",30,0,-160.61003912619657,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.9800665778412416}",25,0,-167.01561171701832,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.9747941070689433}",25,0,-155.41641139997353,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.9689124217106447}",20,0,-104.99640525280157,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.962425197628238}",20,10,11.19105538167063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.955336489125606}",20,0,-18.474811025818532,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9476507264148157}",25,8,-148.9927005719127,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 2}",1
14,False,"{'a': 0.7, 'e': 0.9393727128473789}",25,0,-94.9708823771953,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.9305076219123143}",30,0,-139.7645854446588,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",1
16,False,"{'a': 0.7, 'e': 0.9210609940028851}",25,0,-216.19355848064896,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.9110387329540337}",20,0,-117.21223425515522,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9004471023526769}",20,0,-84.79915533998603,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.8892927216231682}",20,0,-155.0641652156705,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.8775825618903728}",30,0,-192.83795057709472,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.8653239416229412}",20,0,-104.51779011392972,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
