trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9999995000000417}",25,1,-96.34952479438394,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.9999980000006666}",35,0,-253.8835387985436,"{0: 19, 1: 0, 2: 11, 3: 2, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.999995500003375}",20,0,-151.40425176780568,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9999920000106667}",25,0,-266.17095080286043,"{0: 13, 1: 0, 2: 4, 3: 4, 4: 4}",0
5,False,"{'a': 0.7, 'e': 0.9999875000260416}",30,0,-202.13447622128513,"{0: 17, 1: 0, 2: 8, 3: 3, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.999982000054}",20,0,-157.74882306337784,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9999755001000415}",20,0,-85.30642400352951,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.9999680001706663}",20,0,-180.360598380056,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.9999595002733742}",25,0,-219.76476090461333,"{0: 11, 1: 0, 2: 11, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.9999500004166653}",20,0,-130.29531424982346,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.9999395006100392}",25,0,-65.93679223502735,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.9999280008639958}",25,0,-211.3377125387577,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
13,False,"{'a': 0.7, 'e': 0.9999155011900349}",25,0,-197.0486132918772,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.9999020016006562}",20,0,-126.44934066523666,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.9998875021093592}",25,0,-102.05052695103606,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.9998720027306434}",25,0,-176.1072298161958,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.9998555034800082}",25,0,-175.91573441507887,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.9998380043739528}",20,0,-79.22910873484922,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.9998195054299763}",20,0,-109.836659661275,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.9998000066665778}",25,1,-202.56965146750804,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 3}",1
21,False,"{'a': 0.7, 'e': 0.9997795081032559}",30,0,-124.2837292559201,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.9997580097605092}",20,0,-70.37226378766579,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.9997355116598361}",30,0,-178.74763777523557,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.9997120138237345}",20,0,11.63585735704025,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
