trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-171.60362900674696,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-74.1996424526158,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-260.27158791031576,"{0: 14, 1: 0, 2: 10, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-141.64243009448236,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-31.159634822503286,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-244.98342697478049,"{0: 12, 1: 0, 2: 6, 3: 4, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-158.90755996753552,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-113.78094465313842,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-152.3742659117056,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-179.93217411532663,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-172.92070642997618,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-94.04569019979944,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-210.76790708141124,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-280.348742881755,"{0: 20, 1: 0, 2: 10, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,-163.8992061161045,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-248.75571359310513,"{0: 16, 1: 0, 2: 10, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-167.21399017878556,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-137.4224558584368,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
