trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.8, 'e': 0.5714702170359919}",20,6,-54.50056488716318,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
78,False,"{'a': 0.8, 'e': 0.5611680535493414}",30,0,14.86049716328276,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.5507782086960172}",20,13,-32.78452134301332,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.5403023058681398}",30,4,-70.96541924960343,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 1}",1
81,False,"{'a': 0.8, 'e': 0.5297419819042124}",20,0,-58.64931762343082,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.8, 'e': 0.5190988868333698}",25,11,-58.63447496314775,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.8, 'e': 0.5083746836175631}",25,0,-15.255341039159802,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.49757104789172696}",20,0,-25.013137556319272,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.4866896677019633}",20,11,-21.017861926481682,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.4757322432417888}",20,0,-67.0147940808237,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.8, 'e': 0.4647004865864824}",25,0,-114.21223152522221,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
88,False,"{'a': 0.8, 'e': 0.4535961214255773}",20,4,-105.39397813979886,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
89,False,"{'a': 0.8, 'e': 0.44242088279353853}",35,8,-126.90752307535952,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 3}",1
90,False,"{'a': 0.8, 'e': 0.4311765167986662}",25,0,-19.68649866991158,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.4198647803502703}",20,14,10.392846682424182,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.4084874408841574}",25,8,-40.075479728673834,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.8, 'e': 0.3970462760864716}",25,0,-11.626484585332479,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.8, 'e': 0.385543073615936}",35,25,-47.43793693142757,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.8, 'e': 0.37397963082453317}",30,0,-60.472150934161945,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.8, 'e': 0.3623577544766736}",20,4,-32.419954259813984,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.35067926046689196}",25,8,-37.10253912833434,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.8, 'e': 0.3389459735361172}",25,0,-53.86597844096306,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.8, 'e': 0.3271597269865614}",20,0,-10.173773755744286,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.8, 'e': 0.3153223623952687}",25,0,-34.29458778234227,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
101,False,"{'a': 0.8, 'e': 0.3034357293263733}",30,19,-8.13273248810756,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.29150168504210905}",25,0,-54.875180786325004,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
103,False,"{'a': 0.8, 'e': 0.27952209421261537}",25,15,-37.24230250753245,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.8, 'e': 0.26749882862458735}",20,0,-52.32281827115715,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.8, 'e': 0.2554337668888117}",20,12,12.169507073377014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.24332879414663827}",20,6,-1.7240309505913116,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.23118580177543058}",20,0,-30.008836344013258,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.2190066870930415}",20,7,4.851967991499048,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.2067933530613623}",20,6,-14.767460108943698,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.19454770798898718}",20,0,-29.671763787415294,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.8, 'e': 0.18227166523304508}",20,13,2.8039257508634066,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.16996714290024104}",25,2,18.07525034859141,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.15763606354715584}",20,1,20.37935753895336,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.14528035387985133}",20,1,-41.45052102734878,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.8, 'e': 0.13290194445282522}",30,6,-87.82697862245541,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 3}",1
116,False,"{'a': 0.8, 'e': 0.12050276936736662}",20,2,29.173195367032925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.10808476596935661}",20,15,-1.125291835553936,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.09564987454656154}",25,12,20.569504878787107,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.08320003802546795}",30,8,-4.4368110669391605,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.8, 'e': 0.0707372016677029}",25,0,-18.14914807858703,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.8, 'e': 0.05826331276609174}",25,4,28.464065268945443,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.04578032034039728}",30,0,-69.09233052670164,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,14,-10.163080285707844,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,9,27.451382415505652,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,-23.529409611081576,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,5,20.500946428819198,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,2,35.77126938323493,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,29.059890058512554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,23.874601237898407,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,48.14870843532058,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,25.33935897731844,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,16.07090459737269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
