trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-371.08421297430414,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-235.5539569551419,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-217.7575924554578,"{0: 18, 1: 0, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-220.71948622685858,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
